  Z(cm)          B(V/cm)        Bz(0,0)        By(0,Y1)       Bx(0,y1)      By(x1,0)        Bx(x1,0)       Bx(x2,y2)         Bz(x2,y2)     By(x2,y2)
  25.90000       83.07433       83.07433      -1.579898       0.000000       0.000000      -1.579898     -0.4268872      -1.355435     -0.4268872    
  26.02000       86.55862       86.55862      -1.557393       0.000000       0.000000      -1.557393     -0.4273768      -1.376457     -0.4273768    
  26.14000       90.18735       90.18735      -1.534196       0.000000       0.000000      -1.534196     -0.4283137      -1.396783     -0.4283137    
  26.26000       93.94468       93.94468      -1.510395       0.000000       0.000000      -1.510395     -0.4297473      -1.418622     -0.4297473    
  26.38000       97.83108       97.83108      -1.486030       0.000000       0.000000      -1.486030     -0.4317052      -1.441329     -0.4317052    
  26.50000       101.8475       101.8475      -1.461188       0.000000       0.000000      -1.461188     -0.4343367      -1.464477     -0.4343367    
  26.62000       105.9941       105.9941      -1.435853       0.000000       0.000000      -1.435853     -0.4377047      -1.488497     -0.4377047    
  26.74000       110.2888       110.2888      -1.409999       0.000000       0.000000      -1.409999     -0.4420660      -1.514602     -0.4420660    
  26.86000       114.7129       114.7129      -1.383808       0.000000       0.000000      -1.383808     -0.4474419      -1.541256     -0.4474419    
  26.98000       119.2643       119.2643      -1.357234       0.000000       0.000000      -1.357234     -0.4539941      -1.567850     -0.4539941    
  27.10000       123.9414       123.9414      -1.330412       0.000000       0.000000      -1.330412     -0.4618602      -1.596544     -0.4618602    
  27.22000       128.7419       128.7419      -1.303312       0.000000       0.000000      -1.303312     -0.4712808      -1.625690     -0.4712808    
  27.34000       133.6790       133.6790      -1.275975       0.000000       0.000000      -1.275975     -0.4826912      -1.655228     -0.4826912    
  27.46000       138.7318       138.7318      -1.248532       0.000000       0.000000      -1.248532     -0.4960390      -1.686414     -0.4960390    
  27.58000       143.8954       143.8954      -1.220965       0.000000       0.000000      -1.220965     -0.5115779      -1.717937     -0.5115779    
  27.70000       149.1651       149.1651      -1.193395       0.000000       0.000000      -1.193395     -0.5295412      -1.750381     -0.5295412    
  27.82000       154.5351       154.5351      -1.165791       0.000000       0.000000      -1.165791     -0.5502250      -1.781415     -0.5502250    
  27.94000       160.0113       160.0113      -1.138244       0.000000       0.000000      -1.138244     -0.5743934      -1.810959     -0.5743934    
  28.06000       165.5729       165.5729      -752.1531       0.000000       0.000000      -752.1531      -414.6170      -4.489940      -414.6170    
  28.18000       171.2120       171.2120      -1878.743       0.000000       0.000000      -1878.743      -1037.685      -35.31835      -1037.685    
  28.30000       176.9205       176.9205      -1879.138       0.000000       0.000000      -1879.138      -1046.159      -88.61067      -1046.159    
  28.42000       182.6898       182.6898      -1879.906       0.000000       0.000000      -1879.906      -1062.393      -140.2511      -1062.393    
  28.54000       188.5164       188.5164      -1881.111       0.000000       0.000000      -1881.111      -1088.745      -188.7269      -1088.745    
  28.66000       194.3827       194.3827      -1882.712       0.000000       0.000000      -1882.712      -1124.276      -232.0510      -1124.276    
  28.78000       200.2783       200.2783      -1884.691       0.000000       0.000000      -1884.691      -1170.988      -266.6591      -1170.988    
  28.90000       206.1930       206.1930      -1887.041       0.000000       0.000000      -1887.041      -1229.311      -286.1468      -1229.311    
  29.02000       212.1162       212.1162      -1889.762       0.000000       0.000000      -1889.762      -1298.961      -282.9919      -1298.961    
  29.14000       218.0352       218.0352      -1892.967       0.000000       0.000000      -1892.967      -1375.407      -234.1831      -1375.407    
  29.26000       223.9383       223.9383      -1896.476       0.000000       0.000000      -1896.476      -1438.831      -132.4557      -1438.831    
  29.38000       229.8146       229.8146      -761.5983       0.000000       0.000000      -761.5983      -585.5685      -25.96335      -585.5685    
  29.50000       235.6532       235.6532      -5.262081       0.000000       0.000000      -5.262081      -1.455817     -0.3067609      -1.455817    
  29.62000       241.4433       241.4433      -6.222997       0.000000       0.000000      -6.222997      -1.887978     -0.1936066      -1.887978    
  29.74000       247.1646       247.1646      -5.708107       0.000000       0.000000      -5.708107      -2.141617     -0.5195107      -2.141617    
  29.86000       252.8137       252.8137      -5.536084       0.000000       0.000000      -5.536084      -2.277717     -0.6434960      -2.277717    
  29.98000       258.3810       258.3810      -5.369211       0.000000       0.000000      -5.369211      -2.353791     -0.8644505      -2.353791    
  30.10000       263.8567       263.8567      -5.202647       0.000000       0.000000      -5.202647      -2.380968     -0.9524158      -2.380968    
  30.22000       269.2314       269.2314      -5.034603       0.000000       0.000000      -5.034603      -2.378721      -1.094678      -2.378721    
  30.34000       274.4797       274.4797      -4.870440       0.000000       0.000000      -4.870440      -2.358334      -1.202090      -2.358334    
