R Z Br Bz
0.000000000000000000e+00 -4.699999999999998623e-02 0.000000000000000000e+00 5.598845270279592112e-01
0.000000000000000000e+00 -4.599999999999998535e-02 0.000000000000000000e+00 5.716545167553972462e-01
0.000000000000000000e+00 -4.499999999999998446e-02 0.000000000000000000e+00 5.834543168805131907e-01
0.000000000000000000e+00 -4.399999999999998357e-02 0.000000000000000000e+00 5.952679094026255280e-01
0.000000000000000000e+00 -4.299999999999998268e-02 0.000000000000000000e+00 6.070792763178393114e-01
0.000000000000000000e+00 -4.199999999999998179e-02 0.000000000000000000e+00 6.188723996307796682e-01
0.000000000000000000e+00 -4.099999999999998090e-02 0.000000000000000000e+00 6.306309622731605113e-01
0.000000000000000000e+00 -3.999999999999998002e-02 0.000000000000000000e+00 6.423374509921193631e-01
0.000000000000000000e+00 -3.899999999999997913e-02 0.000000000000000000e+00 6.539740534646116821e-01
0.000000000000000000e+00 -3.799999999999997824e-02 0.000000000000000000e+00 6.655229573724298353e-01
0.000000000000000000e+00 -3.699999999999997735e-02 0.000000000000000000e+00 6.769663503947712657e-01
0.000000000000000000e+00 -3.599999999999997646e-02 0.000000000000000000e+00 6.882864202065507309e-01
0.000000000000000000e+00 -3.499999999999997558e-02 0.000000000000000000e+00 6.994657824500938315e-01
0.000000000000000000e+00 -3.399999999999997469e-02 0.000000000000000000e+00 7.104887644949005043e-01
0.000000000000000000e+00 -3.299999999999997380e-02 0.000000000000000000e+00 7.213401216795539694e-01
0.000000000000000000e+00 -3.199999999999997291e-02 0.000000000000000000e+00 7.320046093340458748e-01
0.000000000000000000e+00 -3.099999999999999978e-02 0.000000000000000000e+00 7.424669827889219809e-01
0.000000000000000000e+00 -2.999999999999999889e-02 0.000000000000000000e+00 7.527119973649150086e-01
0.000000000000000000e+00 -2.899999999999999800e-02 0.000000000000000000e+00 7.627250380917045547e-01
0.000000000000000000e+00 -2.799999999999999711e-02 0.000000000000000000e+00 7.724940086227185532e-01
0.000000000000000000e+00 -2.699999999999999623e-02 0.000000000000000000e+00 7.820074423167895361e-01
0.000000000000000000e+00 -2.599999999999999534e-02 0.000000000000000000e+00 7.912538725250184424e-01
0.000000000000000000e+00 -2.499999999999999445e-02 0.000000000000000000e+00 8.002218325978810443e-01
0.000000000000000000e+00 -2.399999999999999356e-02 0.000000000000000000e+00 8.088998558744150413e-01
0.000000000000000000e+00 -2.299999999999999267e-02 0.000000000000000000e+00 8.172772211194041514e-01
